" player"," fg"," 3pt"," ft"," oreb"," dreb"," foul"," stl"," to"," blk"," asst"," pts"
" #1 C. Hall"," 5-14"," 1-4"," 0-2"," 7"," 3"," 0"," 0"," 1"," 0"," 1"," 11"
" #1 J. Abreu"," 3-5"," 2-4"," 2-2"," 0"," 1"," 0"," 1"," 1"," 0"," 1"," 10"
" #1 C. Yinger"," 2-6"," 0-1"," 2-2"," 3"," 3"," 0"," 2"," 2"," 1"," 3"," 6"
" #1 B. Rankin"," 2-2"," 0-0"," 0-0"," 1"," 3"," 0"," 0"," 0"," 0"," 0"," 4"
" #1 G. Tittle"," 1-3"," 1-3"," 0-0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 3"
" #1 H. Mollman"," 1-2"," 0-0"," 0-0"," 0"," 2"," 0"," 0"," 2"," 0"," 0"," 2"
" #1 N. Gabriel"," 0-0"," 0-0"," 2-2"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 2"
" #1 B. Novotny"," 1-3"," 0-0"," 0-0"," 1"," 1"," 0"," 0"," 2"," 0"," 0"," 2"
" #1 E. Rhyne"," 1-3"," 0-0"," 0-2"," 1"," 2"," 0"," 2"," 1"," 1"," 0"," 2"
" #1 K. Johnson"," 1-2"," 0-0"," 0-0"," 1"," 3"," 0"," 0"," 1"," 0"," 0"," 2"
" #1 J. Constantine"," 1-2"," 0-0"," 0-0"," 1"," 0"," 0"," 1"," 1"," 0"," 0"," 2"
" #1 D. Harris"," 0-1"," 0-1"," 0-0"," 0"," 2"," 0"," 0"," 1"," 0"," 0"," 0"
" #1 E. Dejesus"," 0-2"," 0-2"," 0-0"," 0"," 3"," 0"," 0"," 0"," 0"," 1"," 0"
" #1 R. Messier"," 0-3"," 0-2"," 0-0"," 1"," 2"," 0"," 2"," 2"," 0"," 1"," 0"
