" player"," fg"," 3pt"," ft"," oreb"," dreb"," foul"," stl"," to"," blk"," asst"," pts"
" #1 C. Hall"," 6-13"," 3-4"," 1-2"," 1"," 3"," 0"," 2"," 2"," 1"," 2"," 16"
" #1 E. Rhyne"," 3-4"," 0-0"," 1-2"," 0"," 4"," 0"," 0"," 2"," 0"," 2"," 7"
" #1 C. Yinger"," 3-7"," 1-3"," 0-0"," 3"," 0"," 0"," 0"," 0"," 0"," 1"," 7"
" #1 J. Abreu"," 2-9"," 1-4"," 0-0"," 1"," 1"," 0"," 2"," 0"," 0"," 4"," 5"
" #1 E. Dejesus"," 1-5"," 1-4"," 2-4"," 1"," 0"," 0"," 1"," 2"," 0"," 0"," 5"
" #1 K. Johnson"," 1-1"," 0-0"," 3-4"," 2"," 0"," 0"," 2"," 0"," 0"," 0"," 5"
" #1 B. Rankin"," 1-5"," 0-1"," 1-3"," 3"," 3"," 0"," 2"," 0"," 1"," 0"," 3"
" #1 R. Messier"," 1-2"," 0-0"," 0-5"," 2"," 3"," 0"," 0"," 1"," 0"," 0"," 2"
" #1 N. Gabriel"," 0-0"," 0-0"," 2-2"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 2"
" #1 H. Mollman"," 0-1"," 0-0"," 0-2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 J. Constantine"," 0-0"," 0-0"," 0-0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 D. Harris"," 0-0"," 0-0"," 0-0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 B. Novotny"," 0-0"," 0-0"," 0-0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 G. Tittle"," 0-0"," 0-0"," 0-0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
