" player"," fg"," 3pt"," ft"," oreb"," dreb"," foul"," stl"," to"," blk"," asst"," pts"
" #1 C. Hall"," 2-11"," 1-8"," 10-12"," 0"," 3"," 0"," 6"," 4"," 0"," 0"," 15"
" #1 C. Yinger"," 2-9"," 0-1"," 4-4"," 5"," 4"," 0"," 1"," 2"," 0"," 0"," 8"
" #1 J. Abreu"," 2-13"," 0-7"," 2-4"," 1"," 0"," 0"," 0"," 1"," 0"," 6"," 6"
" #1 E. Dejesus"," 1-3"," 1-2"," 0-0"," 2"," 1"," 0"," 1"," 0"," 0"," 1"," 3"
" #1 H. Mollman"," 1-3"," 1-2"," 0-0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 3"
" #1 B. Rankin"," 1-4"," 0-0"," 0-0"," 2"," 3"," 0"," 1"," 2"," 0"," 0"," 2"
" #1 R. Messier"," 1-3"," 0-2"," 0-0"," 0"," 2"," 0"," 1"," 1"," 0"," 0"," 2"
" #1 N. Gabriel"," 0-3"," 0-3"," 0-0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 E. Rhyne"," 0-0"," 0-0"," 0-0"," 3"," 2"," 0"," 0"," 1"," 2"," 0"," 0"
" #1 J. Constantine"," 0-0"," 0-0"," 0-0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 K. Johnson"," 0-0"," 0-0"," 0-0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 G. Tittle"," 0-1"," 0-1"," 0-0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 G. Palazzo"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
" #1 B. Novotny"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
" #1 O. Arceo"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
" #1 D. Harris"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
