" player"," fg"," 3pt"," ft"," oreb"," dreb"," foul"," stl"," to"," blk"," asst"," pts"
" #1 C. Hall"," 6-14"," 0-2"," 3-4"," 0"," 4"," 0"," 4"," 3"," 0"," 2"," 15"
" #1 J. Abreu"," 6-18"," 1-5"," 0-3"," 2"," 3"," 0"," 4"," 4"," 0"," 3"," 13"
" #1 C. Yinger"," 4-6"," 1-1"," 0-0"," 2"," 4"," 0"," 2"," 1"," 0"," 1"," 9"
" #1 E. Rhyne"," 3-6"," 0-0"," 0-0"," 3"," 2"," 0"," 0"," 1"," 0"," 0"," 6"
" #1 R. Messier"," 1-1"," 1-1"," 0-2"," 1"," 3"," 0"," 1"," 1"," 0"," 0"," 3"
" #1 K. Johnson"," 0-1"," 0-0"," 2-6"," 2"," 2"," 0"," 1"," 0"," 0"," 1"," 2"
" #1 J. Constantine"," 1-4"," 0-0"," 0-0"," 2"," 3"," 0"," 0"," 1"," 0"," 1"," 2"
" #1 B. Rankin"," 0-3"," 0-2"," 1-2"," 4"," 1"," 0"," 0"," 1"," 0"," 0"," 1"
" #1 E. Dejesus"," 0-4"," 0-2"," 0-0"," 2"," 0"," 0"," 0"," 0"," 0"," 3"," 0"
" #1 N. Gabriel"," 0-1"," 0-0"," 0-0"," 0"," 1"," 0"," 2"," 1"," 0"," 2"," 0"
" #1 H. Mollman"," 0-0"," 0-0"," 0-0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 D. Harris"," 0-0"," 0-0"," 0-0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 B. Novotny"," 0-0"," 0-0"," 0-0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 G. Tittle"," 0-1"," 0-1"," 0-0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 G. Palazzo"," 0-0"," 0-0"," 0-0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 O. Arceo"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
