" player"," fg"," 3pt"," ft"," oreb"," dreb"," foul"," stl"," to"," blk"," asst"," pts"
" #1 J. Abreu"," 5-8"," 4-7"," 0-1"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 14"
" #1 C. Hall"," 6-10"," 1-2"," 1-1"," 0"," 1"," 0"," 2"," 2"," 0"," 2"," 14"
" #1 N. Gabriel"," 3-6"," 2-3"," 0-0"," 1"," 1"," 0"," 1"," 0"," 0"," 0"," 8"
" #1 K. Johnson"," 4-8"," 0-0"," 0-0"," 1"," 3"," 0"," 2"," 0"," 0"," 6"," 8"
" #1 E. Dejesus"," 2-4"," 1-2"," 0-0"," 1"," 3"," 0"," 0"," 1"," 0"," 2"," 5"
" #1 D. Harris"," 2-4"," 0-0"," 0-0"," 1"," 2"," 0"," 0"," 4"," 0"," 1"," 4"
" #1 H. Mollman"," 2-3"," 0-0"," 0-0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 4"
" #1 R. Messier"," 2-3"," 0-0"," 0-0"," 3"," 3"," 0"," 1"," 1"," 0"," 1"," 4"
" #1 B. Rankin"," 1-1"," 1-1"," 0-0"," 1"," 1"," 0"," 1"," 0"," 0"," 1"," 3"
" #1 G. Tittle"," 1-2"," 1-2"," 0-0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"
" #1 C. Yinger"," 1-4"," 0-1"," 0-0"," 2"," 2"," 0"," 0"," 1"," 0"," 2"," 2"
" #1 E. Rhyne"," 0-2"," 0-0"," 0-0"," 4"," 3"," 0"," 1"," 1"," 1"," 1"," 0"
" #1 B. Novotny"," 0-1"," 0-0"," 0-0"," 1"," 6"," 0"," 0"," 2"," 0"," 0"," 0"
" #1 J. Constantine"," 0-5"," 0-1"," 0-0"," 3"," 1"," 0"," 1"," 1"," 0"," 0"," 0"
" #1 G. Palazzo"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
" #1 O. Arceo"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
