" player"," fg"," 3pt"," ft"," oreb"," dreb"," foul"," stl"," to"," blk"," asst"," pts"
" #1 C. Hall"," 3-13"," 2-4"," 1-2"," 2"," 0"," 0"," 4"," 3"," 0"," 0"," 9"
" #1 E. Rhyne"," 3-5"," 0-0"," 1-4"," 4"," 4"," 0"," 0"," 0"," 1"," 0"," 7"
" #1 C. Yinger"," 3-5"," 0-1"," 0-0"," 0"," 1"," 0"," 0"," 1"," 0"," 3"," 6"
" #1 J. Abreu"," 0-9"," 0-4"," 5-6"," 0"," 3"," 0"," 2"," 5"," 0"," 1"," 5"
" #1 N. Gabriel"," 2-3"," 0-0"," 0-2"," 1"," 2"," 0"," 0"," 1"," 0"," 0"," 4"
" #1 K. Johnson"," 1-3"," 0-1"," 1-2"," 0"," 1"," 0"," 1"," 0"," 0"," 2"," 3"
" #1 R. Messier"," 1-2"," 1-2"," 0-0"," 0"," 3"," 0"," 0"," 2"," 0"," 2"," 3"
" #1 B. Rankin"," 1-2"," 0-0"," 0-0"," 1"," 3"," 0"," 0"," 0"," 1"," 1"," 2"
" #1 H. Mollman"," 0-1"," 0-0"," 0-0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 D. Harris"," 0-1"," 0-1"," 0-0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"
" #1 G. Tittle"," 0-0"," 0-0"," 0-0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" #1 B. Novotny"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
" #1 J. Constantine"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
" #1 O. Arceo"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
" #1 E. Dejesus"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
" #1 G. Palazzo"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
